season,race_name,fullname,numero_quali,tiempo_ms,tiempo_TD,tiempo_min_ms,tiempo_min_TD,diff_ms_with_1st_in_quali,diff_TD_with_1st_in_quali
2021,Emilia Romagna Grand Prix,Nikita Mazepin,1,76797.0,00:01:16.796,74672.0,0 days 00:01:14.672000,2125.0,00:00:02.125
2021,Emilia Romagna Grand Prix,Yuki Tsunoda,1,,,74672.0,0 days 00:01:14.672000,,
2021,Portuguese Grand Prix,Valtteri Bottas,1,78722.0,00:01:18.721,78722.0,0 days 00:01:18.722000,0.0,00:00:00.000
2021,Portuguese Grand Prix,Lewis Hamilton,1,78857.0,00:01:18.856,78722.0,0 days 00:01:18.722000,135.0,00:00:00.135
2021,Portuguese Grand Prix,Max Verstappen,1,79485.0,00:01:19.484,78722.0,0 days 00:01:18.722000,763.0,00:00:00.763
2021,Portuguese Grand Prix,Sergio Pérez,1,79337.0,00:01:19.337,78722.0,0 days 00:01:18.722000,615.0,00:00:00.615
2021,Portuguese Grand Prix,Carlos Sainz,1,79309.0,00:01:19.308,78722.0,0 days 00:01:18.722000,587.0,00:00:00.587
2021,Portuguese Grand Prix,Esteban Ocon,1,79092.0,00:01:19.091,78722.0,0 days 00:01:18.722000,370.0,00:00:00.370
2021,Portuguese Grand Prix,Lando Norris,1,78794.0,00:01:18.793,78722.0,0 days 00:01:18.722000,72.0,00:00:00.072
2021,Portuguese Grand Prix,Charles Leclerc,1,79373.0,00:01:19.373,78722.0,0 days 00:01:18.722000,651.0,00:00:00.651
2021,Portuguese Grand Prix,Pierre Gasly,1,79464.0,00:01:19.463,78722.0,0 days 00:01:18.722000,742.0,00:00:00.742
2021,Portuguese Grand Prix,Sebastian Vettel,1,79403.0,00:01:19.403,78722.0,0 days 00:01:18.722000,681.0,00:00:00.681
2021,Portuguese Grand Prix,George Russell,1,79797.0,00:01:19.796,78722.0,0 days 00:01:18.722000,1075.0,00:00:01.074
2021,Portuguese Grand Prix,Antonio Giovinazzi,1,79410.0,00:01:19.409,78722.0,0 days 00:01:18.722000,688.0,00:00:00.688
2021,Portuguese Grand Prix,Fernando Alonso,1,79728.0,00:01:19.727,78722.0,0 days 00:01:18.722000,1006.0,00:00:01.006
2021,Portuguese Grand Prix,Yuki Tsunoda,1,79684.0,00:01:19.683,78722.0,0 days 00:01:18.722000,962.0,00:00:00.962
2021,Portuguese Grand Prix,Kimi Räikkönen,1,79748.0,00:01:19.748,78722.0,0 days 00:01:18.722000,1026.0,00:00:01.026
2021,Portuguese Grand Prix,Daniel Ricciardo,1,79839.0,00:01:19.838,78722.0,0 days 00:01:18.722000,1117.0,00:00:01.117
2021,Portuguese Grand Prix,Lance Stroll,1,79913.0,00:01:19.912,78722.0,0 days 00:01:18.722000,1191.0,00:00:01.191
2021,Portuguese Grand Prix,Nicholas Latifi,1,80285.0,00:01:20.284,78722.0,0 days 00:01:18.722000,1563.0,00:00:01.563
2021,Portuguese Grand Prix,Mick Schumacher,1,80452.0,00:01:20.451,78722.0,0 days 00:01:18.722000,1730.0,00:00:01.730
2021,Portuguese Grand Prix,Nikita Mazepin,1,80912.0,00:01:20.912,78722.0,0 days 00:01:18.722000,2190.0,00:00:02.189
2021,Spanish Grand Prix,Lewis Hamilton,1,78245.0,00:01:18.245,77821.0,0 days 00:01:17.821000,424.0,00:00:00.424
2021,Spanish Grand Prix,Max Verstappen,1,78090.0,00:01:18.090,77821.0,0 days 00:01:17.821000,269.0,00:00:00.269
2021,Spanish Grand Prix,Valtteri Bottas,1,78005.0,00:01:18.004,77821.0,0 days 00:01:17.821000,184.0,00:00:00.184
2021,Spanish Grand Prix,Charles Leclerc,1,78041.0,00:01:18.040,77821.0,0 days 00:01:17.821000,220.0,00:00:00.220
2021,Spanish Grand Prix,Esteban Ocon,1,78281.0,00:01:18.281,77821.0,0 days 00:01:17.821000,460.0,00:00:00.460
2021,Spanish Grand Prix,Carlos Sainz,1,78205.0,00:01:18.204,77821.0,0 days 00:01:17.821000,384.0,00:00:00.384
2021,Spanish Grand Prix,Daniel Ricciardo,1,78264.0,00:01:18.263,77821.0,0 days 00:01:17.821000,443.0,00:00:00.443
2021,Spanish Grand Prix,Sergio Pérez,1,78203.0,00:01:18.203,77821.0,0 days 00:01:17.821000,382.0,00:00:00.382
2021,Spanish Grand Prix,Lando Norris,1,77821.0,00:01:17.820,77821.0,0 days 00:01:17.821000,0.0,00:00:00.000
2021,Spanish Grand Prix,Fernando Alonso,1,78281.0,00:01:18.281,77821.0,0 days 00:01:17.821000,460.0,00:00:00.460
2021,Spanish Grand Prix,Lance Stroll,1,78241.0,00:01:18.240,77821.0,0 days 00:01:17.821000,420.0,00:00:00.420
2021,Spanish Grand Prix,Pierre Gasly,1,78190.0,00:01:18.189,77821.0,0 days 00:01:17.821000,369.0,00:00:00.369
2021,Spanish Grand Prix,Sebastian Vettel,1,78289.0,00:01:18.289,77821.0,0 days 00:01:17.821000,468.0,00:00:00.468
2021,Spanish Grand Prix,Antonio Giovinazzi,1,78549.0,00:01:18.549,77821.0,0 days 00:01:17.821000,728.0,00:00:00.728
2021,Spanish Grand Prix,George Russell,1,78445.0,00:01:18.444,77821.0,0 days 00:01:17.821000,624.0,00:00:00.624
2021,Spanish Grand Prix,Yuki Tsunoda,1,78556.0,00:01:18.555,77821.0,0 days 00:01:17.821000,735.0,00:00:00.735
2021,Spanish Grand Prix,Kimi Räikkönen,1,78917.0,00:01:18.917,77821.0,0 days 00:01:17.821000,1096.0,00:00:01.096
2021,Spanish Grand Prix,Mick Schumacher,1,79117.0,00:01:19.117,77821.0,0 days 00:01:17.821000,1296.0,00:00:01.296
2021,Spanish Grand Prix,Nicholas Latifi,1,79219.0,00:01:19.218,77821.0,0 days 00:01:17.821000,1398.0,00:00:01.398
2021,Spanish Grand Prix,Nikita Mazepin,1,79807.0,00:01:19.807,77821.0,0 days 00:01:17.821000,1986.0,00:00:01.986
2021,Monaco Grand Prix,Charles Leclerc,1,71113.0,00:01:11.112,70938.0,0 days 00:01:10.938000,175.0,00:00:00.175
2021,Monaco Grand Prix,Max Verstappen,1,71124.0,00:01:11.123,70938.0,0 days 00:01:10.938000,186.0,00:00:00.186
2021,Monaco Grand Prix,Valtteri Bottas,1,70938.0,00:01:10.938,70938.0,0 days 00:01:10.938000,0.0,00:00:00.000
2021,Monaco Grand Prix,Carlos Sainz,1,71324.0,00:01:11.323,70938.0,0 days 00:01:10.938000,386.0,00:00:00.386
2021,Monaco Grand Prix,Lando Norris,1,71321.0,00:01:11.320,70938.0,0 days 00:01:10.938000,383.0,00:00:00.383
2021,Monaco Grand Prix,Pierre Gasly,1,71560.0,00:01:11.560,70938.0,0 days 00:01:10.938000,622.0,00:00:00.622
2021,Monaco Grand Prix,Lewis Hamilton,1,71622.0,00:01:11.621,70938.0,0 days 00:01:10.938000,684.0,00:00:00.684
2021,Monaco Grand Prix,Sebastian Vettel,1,72078.0,00:01:12.078,70938.0,0 days 00:01:10.938000,1140.0,00:00:01.140
2021,Monaco Grand Prix,Sergio Pérez,1,71644.0,00:01:11.644,70938.0,0 days 00:01:10.938000,706.0,00:00:00.706
2021,Monaco Grand Prix,Antonio Giovinazzi,1,71658.0,00:01:11.658,70938.0,0 days 00:01:10.938000,720.0,00:00:00.720
2021,Monaco Grand Prix,Esteban Ocon,1,71740.0,00:01:11.739,70938.0,0 days 00:01:10.938000,802.0,00:00:00.802
2021,Monaco Grand Prix,Daniel Ricciardo,1,71747.0,00:01:11.746,70938.0,0 days 00:01:10.938000,809.0,00:00:00.809
2021,Monaco Grand Prix,Lance Stroll,1,71979.0,00:01:11.978,70938.0,0 days 00:01:10.938000,1041.0,00:00:01.040
2021,Monaco Grand Prix,Kimi Räikkönen,1,71899.0,00:01:11.899,70938.0,0 days 00:01:10.938000,961.0,00:00:00.961
2021,Monaco Grand Prix,George Russell,1,72016.0,00:01:12.016,70938.0,0 days 00:01:10.938000,1078.0,00:00:01.078
2021,Monaco Grand Prix,Yuki Tsunoda,1,72096.0,00:01:12.096,70938.0,0 days 00:01:10.938000,1158.0,00:00:01.157
2021,Monaco Grand Prix,Fernando Alonso,1,72205.0,00:01:12.204,70938.0,0 days 00:01:10.938000,1267.0,00:00:01.266
2021,Monaco Grand Prix,Nicholas Latifi,1,72366.0,00:01:12.365,70938.0,0 days 00:01:10.938000,1428.0,00:00:01.427
2021,Monaco Grand Prix,Nikita Mazepin,1,72958.0,00:01:12.957,70938.0,0 days 00:01:10.938000,2020.0,00:00:02.020
2021,Azerbaijan Grand Prix,Charles Leclerc,1,102241.0,00:01:42.240,101545.0,0 days 00:01:41.545000,696.0,00:00:00.696
2021,Azerbaijan Grand Prix,Lewis Hamilton,1,101545.0,00:01:41.545,101545.0,0 days 00:01:41.545000,0.0,00:00:00.000
2021,Azerbaijan Grand Prix,Max Verstappen,1,101760.0,00:01:41.760,101545.0,0 days 00:01:41.545000,215.0,00:00:00.215
2021,Azerbaijan Grand Prix,Pierre Gasly,1,102288.0,00:01:42.287,101545.0,0 days 00:01:41.545000,743.0,00:00:00.743
