season,race_name,numero_quali,Alexander Albon,Antonio Giovinazzi,Carlos Sainz,Charles Leclerc,Daniel Ricciardo,Esteban Ocon,Fernando Alonso,George Russell,Guanyu Zhou,Kevin Magnussen,Kimi Räikkönen,Lance Stroll,Lando Norris,Lewis Hamilton,Liam Lawson,Logan Sargeant,Max Verstappen,Mick Schumacher,Nicholas Latifi,Nico Hülkenberg,Nikita Mazepin,Nyck de Vries,Oscar Piastri,Pierre Gasly,Robert Kubica,Sebastian Vettel,Sergio Pérez,Valtteri Bottas,Yuki Tsunoda
2021,French Grand Prix,1,,92722.0,92079.0,92209.0,92181.0,92139.0,92158.0,93060.0,,,93354.0,0.0,91733.0,91237.0,,,91001.0,92942.0,93062.0,,93554.0,,,91898.0,,92132.0,91560.0,91669.0,0.0
2021,French Grand Prix,2,,91813.0,91146.0,91567.0,91615.0,91736.0,91549.0,92065.0,,,0.0,0.0,91542.0,90788.0,,,91080.0,0.0,0.0,,0.0,,,91353.0,,91767.0,90971.0,90735.0,0.0
2021,French Grand Prix,3,,0.0,90840.0,90987.0,91382.0,0.0,91340.0,0.0,,,0.0,0.0,91252.0,90248.0,,,89990.0,0.0,0.0,,0.0,,,90868.0,,0.0,90445.0,90376.0,0.0
2021,Hungarian Grand Prix,1,,77776.0,76649.0,77084.0,77664.0,77367.0,77123.0,77944.0,,,77553.0,77038.0,77081.0,76424.0,,,76214.0,0.0,78036.0,,78922.0,,,76874.0,,77105.0,77233.0,76569.0,77919.0
2021,Hungarian Grand Prix,2,,77583.0,0.0,76574.0,76871.0,76766.0,76541.0,0.0,,,77564.0,76893.0,76385.0,76553.0,,,75650.0,0.0,0.0,,0.0,,,76394.0,,76794.0,76443.0,76702.0,0.0
2021,Hungarian Grand Prix,3,,0.0,0.0,76496.0,0.0,76653.0,76715.0,0.0,,,0.0,0.0,76489.0,75419.0,,,75840.0,0.0,0.0,,0.0,,,76483.0,,76750.0,76421.0,75734.0,0.0
2021,Italian Grand Prix,1,,81197.0,81118.0,81219.0,81292.0,81500.0,81487.0,81890.0,,,,81415.0,80916.0,80543.0,,,81035.0,82248.0,81925.0,,82716.0,,,81440.0,82530.0,81394.0,81308.0,80685.0,81973.0
2021,Italian Grand Prix,2,,80726.0,80750.0,80767.0,80435.0,81103.0,81069.0,81392.0,,,,81020.0,80059.0,79936.0,,,80229.0,0.0,0.0,,0.0,,,80556.0,0.0,80913.0,80882.0,80032.0,0.0
2021,Italian Grand Prix,3,,80808.0,80462.0,80510.0,79995.0,0.0,0.0,0.0,,,,0.0,79989.0,79651.0,,,79966.0,0.0,0.0,,0.0,,,80260.0,0.0,0.0,80611.0,79555.0,0.0
2021,Mexico City Grand Prix,1,,77897.0,77517.0,76748.0,77719.0,78126.0,78452.0,77958.0,,,77606.0,80873.0,77569.0,77207.0,,,76788.0,78858.0,78756.0,,79303.0,,,76908.0,,77502.0,77003.0,76727.0,77330.0
2021,Mexico City Grand Prix,2,,78290.0,77248.0,77034.0,77092.0,78405.0,0.0,78172.0,,,77958.0,0.0,77473.0,76474.0,,,76483.0,0.0,0.0,,0.0,,,76955.0,,77746.0,77055.0,76864.0,76701.0
2021,Mexico City Grand Prix,3,,0.0,76761.0,76837.0,76763.0,0.0,0.0,0.0,,,0.0,0.0,96830.0,76020.0,,,76225.0,0.0,0.0,,0.0,,,76456.0,,0.0,76342.0,75875.0,77158.0
2021,Monaco Grand Prix,1,,71658.0,71324.0,71113.0,71747.0,71740.0,72205.0,72016.0,,,71899.0,71979.0,71321.0,71622.0,,,71124.0,,72366.0,,72958.0,,,71560.0,,72078.0,71644.0,70938.0,72096.0
2021,Monaco Grand Prix,2,,71409.0,70806.0,70597.0,71598.0,71486.0,0.0,71830.0,,,71642.0,71600.0,71031.0,71116.0,,,70650.0,,0.0,,0.0,,,71179.0,,71309.0,71019.0,70695.0,0.0
2021,Monaco Grand Prix,3,,71779.0,70611.0,70346.0,0.0,0.0,0.0,0.0,,,0.0,0.0,70620.0,71095.0,,,70576.0,,0.0,,0.0,,,70900.0,,71419.0,71573.0,70601.0,0.0
2021,Portuguese Grand Prix,1,,79410.0,79309.0,79373.0,79839.0,79092.0,79728.0,79797.0,,,79748.0,79913.0,78794.0,78857.0,,,79485.0,80452.0,80285.0,,80912.0,,,79464.0,,79403.0,79337.0,78722.0,79684.0
2021,Portuguese Grand Prix,2,,79216.0,78813.0,78769.0,0.0,78586.0,79456.0,79109.0,,,79812.0,0.0,78481.0,77968.0,,,78650.0,0.0,0.0,,0.0,,,79052.0,,78970.0,78845.0,78458.0,79463.0
2021,Portuguese Grand Prix,3,,0.0,79039.0,79306.0,0.0,79042.0,0.0,0.0,,,0.0,0.0,79116.0,78355.0,,,78746.0,0.0,0.0,,0.0,,,79475.0,,79659.0,78890.0,78348.0,0.0
2021,Qatar Grand Prix,1,,83262.0,82304.0,82742.0,82688.0,82565.0,82422.0,82863.0,,,83156.0,82551.0,82839.0,81901.0,,,81996.0,83407.0,83213.0,,85859.0,,,82535.0,,82549.0,82398.0,82016.0,82458.0
2021,Qatar Grand Prix,2,,0.0,82241.0,82463.0,82597.0,82012.0,81894.0,82756.0,,,0.0,82460.0,82216.0,81682.0,,,81984.0,0.0,0.0,,0.0,,,81728.0,,82146.0,82346.0,81991.0,82058.0
2021,Qatar Grand Prix,3,,0.0,81840.0,0.0,0.0,82028.0,81670.0,0.0,,,0.0,0.0,81731.0,80827.0,,,81282.0,0.0,0.0,,0.0,,,81640.0,,82785.0,0.0,81478.0,81881.0
