season,race_name,fullname,numero_quali,tiempo_ms
2021,Austrian Grand Prix,Mick Schumacher,3,0.0
2021,Austrian Grand Prix,Nicholas Latifi,1,65195.0
2021,Austrian Grand Prix,Nicholas Latifi,2,0.0
2021,Austrian Grand Prix,Nicholas Latifi,3,0.0
2021,Austrian Grand Prix,Nikita Mazepin,1,65951.0
2021,Austrian Grand Prix,Nikita Mazepin,2,0.0
2021,Austrian Grand Prix,Nikita Mazepin,3,0.0
2021,Austrian Grand Prix,Pierre Gasly,1,64841.0
2021,Austrian Grand Prix,Pierre Gasly,2,64412.0
2021,Austrian Grand Prix,Pierre Gasly,3,64107.0
2021,Austrian Grand Prix,Sebastian Vettel,1,64846.0
2021,Austrian Grand Prix,Sebastian Vettel,2,64493.0
2021,Austrian Grand Prix,Sebastian Vettel,3,64570.0
2021,Austrian Grand Prix,Sergio Pérez,1,64833.0
2021,Austrian Grand Prix,Sergio Pérez,2,64483.0
2021,Austrian Grand Prix,Sergio Pérez,3,63990.0
2021,Austrian Grand Prix,Valtteri Bottas,1,64563.0
2021,Austrian Grand Prix,Valtteri Bottas,2,64376.0
2021,Austrian Grand Prix,Valtteri Bottas,3,64049.0
2021,Austrian Grand Prix,Yuki Tsunoda,1,64967.0
2021,Austrian Grand Prix,Yuki Tsunoda,2,64518.0
2021,Austrian Grand Prix,Yuki Tsunoda,3,64273.0
2021,Azerbaijan Grand Prix,Antonio Giovinazzi,1,0.0
2021,Azerbaijan Grand Prix,Antonio Giovinazzi,2,0.0
2021,Azerbaijan Grand Prix,Antonio Giovinazzi,3,0.0
2021,Azerbaijan Grand Prix,Carlos Sainz,1,102121.0
2021,Azerbaijan Grand Prix,Carlos Sainz,2,101740.0
2021,Azerbaijan Grand Prix,Carlos Sainz,3,101576.0
2021,Azerbaijan Grand Prix,Charles Leclerc,1,102241.0
2021,Azerbaijan Grand Prix,Charles Leclerc,2,101659.0
2021,Azerbaijan Grand Prix,Charles Leclerc,3,101218.0
2021,Azerbaijan Grand Prix,Daniel Ricciardo,1,102304.0
